City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
144,Price,US,2021-09-17 00:04:19,39.5994,-110.8107,82.72,10,1,4.61
145,Mount Isa,AU,2021-09-17 00:04:19,-20.7333,139.5,85.77,19,3,14.97
146,Severo-Kurilsk,RU,2021-09-17 00:04:20,50.6789,156.125,53.91,68,4,6.08
147,Mataura,NZ,2021-09-17 00:04:20,-46.1927,168.8643,45.48,51,32,6.13
148,Sao Jose Da Coroa Grande,BR,2021-09-17 00:04:20,-8.8978,-35.1478,75.81,82,4,11.16
149,Medeiros Neto,BR,2021-09-17 00:04:21,-17.3739,-40.2206,68.94,88,9,7.76
150,Anadyr,RU,2021-09-17 00:04:21,64.75,177.4833,39.7,75,75,20.13
151,Axim,GH,2021-09-17 00:04:22,4.8699,-2.2405,75.65,94,69,7.09
152,Krk,HR,2021-09-17 00:04:22,45.0258,14.5731,69.04,83,85,1.95
153,Kruisfontein,ZA,2021-09-17 00:04:23,-34.0033,24.7314,49.89,80,6,9.93
154,Ostrovnoy,RU,2021-09-17 00:04:23,68.0531,39.5131,42.08,86,82,11.18
155,Tasiilaq,GL,2021-09-17 00:04:23,65.6145,-37.6368,35.76,67,6,4.97
156,Bonthe,SL,2021-09-17 00:04:24,7.5264,-12.505,76.35,88,64,6.76
157,Pangoa,PE,2021-09-17 00:04:24,-12.1167,-73.0,68.79,96,100,1.54
158,Nuevo Progreso,MX,2021-09-17 00:04:25,23.1667,-97.95,83.89,67,73,1.99
159,Bilma,NE,2021-09-17 00:04:25,18.6853,12.9164,88.65,16,0,10.89
160,Lavrentiya,RU,2021-09-17 00:04:26,65.5833,-171.0,37.13,61,96,3.89
161,Mar Del Plata,AR,2021-09-16 23:59:55,-38.0023,-57.5575,62.62,59,0,5.75
162,Paracin,RS,2021-09-17 00:04:27,43.8608,21.4078,68.72,59,99,3.85
163,Gudari,IN,2021-09-17 00:04:27,19.35,83.7833,74.8,93,100,1.79
164,Caravelas,BR,2021-09-17 00:04:28,-17.7125,-39.2481,72.23,85,0,4.65
165,Dandong,CN,2021-09-17 00:00:23,40.1292,124.3947,68.25,83,100,8.05
166,Iqaluit,CA,2021-09-17 00:04:29,63.7506,-68.5145,34.41,84,63,5.7
167,Fallon,US,2021-09-17 00:04:29,39.4735,-118.7774,84.07,14,1,5.75
168,Bhatkal,IN,2021-09-17 00:04:30,13.9667,74.5667,76.59,88,84,3.47
169,Marsaxlokk,MT,2021-09-17 00:04:30,35.8419,14.5431,78.08,83,0,5.75
170,Tarata,BO,2021-09-17 00:04:30,-17.6167,-66.0167,64.67,60,35,6.78
171,Oistins,BB,2021-09-17 00:04:31,13.0667,-59.5333,84.29,74,75,17.27
172,Cururupu,BR,2021-09-17 00:04:31,-1.8283,-44.8683,75.78,91,8,4.34
173,Dzhebariki-Khaya,RU,2021-09-17 00:04:32,62.2167,135.8,58.39,54,100,8.3
174,Chenzhou,CN,2021-09-17 00:00:34,25.8,113.0333,81.19,72,2,0.34
175,Bridgetown,BB,2021-09-17 00:03:09,13.1,-59.6167,82.78,74,0,17.0
176,Kiama,AU,2021-09-17 00:02:29,-34.6833,150.8667,68.25,58,3,9.13
177,Marawi,PH,2021-09-17 00:04:33,7.9986,124.2928,70.65,88,99,2.04
178,Manitouwadge,CA,2021-09-17 00:04:33,49.1215,-85.8403,63.14,62,83,17.29
179,Mount Gambier,AU,2021-09-17 00:04:34,-37.8333,140.7667,62.92,50,64,18.9
180,Dharchula,IN,2021-09-17 00:04:34,29.85,80.5333,70.05,89,100,1.43
181,Fort Nelson,CA,2021-09-17 00:00:41,58.8053,-122.7002,58.98,35,36,5.91
182,Provideniya,RU,2021-09-17 00:04:35,64.3833,-173.3,39.31,65,75,8.95
183,Port Elizabeth,ZA,2021-09-17 00:00:16,-33.918,25.5701,52.11,77,32,13.6
184,Norman Wells,CA,2021-09-17 00:04:35,65.282,-126.8329,55.22,56,8,9.89
185,Namibe,AO,2021-09-17 00:04:36,-15.1961,12.1522,60.58,90,21,6.17
186,Tiksi,RU,2021-09-17 00:04:36,71.6872,128.8694,39.88,91,99,9.04
187,Aklavik,CA,2021-09-17 00:04:37,68.2191,-135.0107,55.53,56,6,10.51
188,Longyearbyen,SJ,2021-09-17 00:04:37,78.2186,15.6401,40.84,81,75,5.75
189,Avera,US,2021-09-17 00:04:38,33.194,-82.5271,75.7,94,98,5.66
190,Luwingu,ZM,2021-09-17 00:04:38,-10.2621,29.9271,69.87,32,67,2.39
191,Nagar Karnul,IN,2021-09-17 00:04:39,16.4821,78.3247,72.16,91,98,8.19
192,Ucluelet,CA,2021-09-17 00:02:35,48.9329,-125.5528,65.05,76,100,7.56
193,Marondera,ZW,2021-09-17 00:04:39,-18.1853,31.5519,58.17,50,23,6.44
194,Namatanai,PG,2021-09-17 00:04:40,-3.6667,152.4333,84.06,66,44,4.0
195,Laguna,US,2021-09-17 00:04:37,38.421,-121.4238,91.44,43,1,4.0
196,Mahibadhoo,MV,2021-09-17 00:04:40,3.7833,72.9667,82.87,70,98,8.86
197,Sechura,PE,2021-09-17 00:04:41,-5.5569,-80.8222,66.18,76,10,17.29
198,Port Lincoln,AU,2021-09-17 00:04:41,-34.7333,135.8667,64.09,51,1,20.51
199,San Cristobal,VE,2021-09-17 00:04:42,7.7669,-72.225,66.45,98,70,3.44
200,Lagoa,PT,2021-09-17 00:04:42,39.05,-27.9833,70.21,90,51,17.34
201,Xunchang,CN,2021-09-17 00:04:42,28.4543,104.715,69.44,89,99,1.23
202,Jiangyou,CN,2021-09-17 00:04:43,31.7667,104.7167,68.52,89,100,0.6
203,Moravita,RO,2021-09-17 00:04:43,45.2558,21.2703,75.24,50,0,2.3
204,Suzhou,CN,2021-09-17 00:01:29,31.3114,120.6181,75.07,81,7,7.45
205,Huarmey,PE,2021-09-17 00:04:44,-10.0681,-78.1522,62.82,82,8,11.01
206,Niamey,NE,2021-09-17 00:04:44,13.5137,2.1098,78.35,77,54,16.51
207,Srivardhan,IN,2021-09-17 00:04:45,18.0333,73.0167,76.93,87,99,7.09
208,Baker City,US,2021-09-17 00:04:45,44.7749,-117.8344,69.15,18,1,9.22
209,Isparta,TR,2021-09-17 00:04:46,38.0,31.0,50.76,81,16,7.0
210,Port Keats,AU,2021-09-17 00:04:46,-14.25,129.55,85.08,59,9,3.96
211,Petrozavodsk,RU,2021-09-17 00:04:47,61.7849,34.3469,40.08,82,75,5.84
212,Ciechanow,PL,2021-09-17 00:04:47,52.8814,20.62,61.72,95,100,4.12
213,Vuktyl,RU,2021-09-17 00:04:47,63.8567,57.3094,38.59,82,92,4.97
214,Touros,BR,2021-09-17 00:04:48,-5.1989,-35.4608,77.61,83,1,18.19
215,Cherskiy,RU,2021-09-17 00:04:48,68.75,161.3,40.12,58,90,16.46
216,Newark,US,2021-09-17 00:00:33,40.7357,-74.1724,74.14,82,90,1.99
217,Lenger,KZ,2021-09-17 00:00:29,42.183,69.8839,54.84,24,0,5.95
218,Itupiranga,BR,2021-09-17 00:03:12,-5.1347,-49.3267,77.09,77,66,3.87
219,Hamilton,US,2021-09-17 00:03:23,39.1834,-84.5333,76.93,77,1,0.0
220,Whitehorse,CA,2021-09-17 00:04:49,60.7161,-135.0538,52.02,55,100,8.93
221,Ahipara,NZ,2021-09-17 00:04:50,-35.1667,173.1667,56.98,82,99,13.62
222,Zwettl,AT,2021-09-17 00:04:50,48.6,15.1667,61.65,96,100,9.4
223,Tilichiki,RU,2021-09-17 00:04:51,60.4667,166.1,50.94,58,34,1.63
224,Lata,PT,2021-09-17 00:04:51,40.1629,-8.3327,65.05,98,8,2.06
225,Acajutla,SV,2021-09-17 00:04:52,13.5928,-89.8275,81.05,82,55,5.99
226,Jaisalmer,IN,2021-09-17 00:00:39,26.9147,70.9181,87.04,63,0,10.98
227,Ngama,TD,2021-09-17 00:04:52,11.7833,17.1667,79.2,69,70,9.71
228,Wagga Wagga,AU,2021-09-17 00:04:53,-35.1167,147.3667,63.61,77,1,10.36
229,Saint George,US,2021-09-17 00:00:42,37.1041,-113.5841,97.63,11,1,1.01
230,Moultrie,US,2021-09-17 00:04:54,31.1799,-83.7891,76.82,94,40,0.0
231,Yabrud,SY,2021-09-17 00:04:54,33.9674,36.6574,51.53,80,0,3.42
232,Pombia,IT,2021-09-17 00:04:55,45.653,8.6336,66.07,95,0,5.75
233,Aykhal,RU,2021-09-17 00:04:55,66.0,111.5,34.97,87,59,16.69
234,Saint-Pierre,RE,2021-09-17 00:04:56,-21.3393,55.4781,69.44,66,0,4.61
235,Luderitz,NA,2021-09-17 00:04:56,-26.6481,15.1594,61.9,39,14,13.09
236,Kysyl-Syr,RU,2021-09-17 00:04:57,63.8986,122.7617,43.95,64,100,10.0
237,Paramonga,PE,2021-09-17 00:04:57,-10.6667,-77.8333,61.47,84,15,10.98
238,Nisia Floresta,BR,2021-09-17 00:04:57,-6.0911,-35.2086,75.27,83,1,11.86
239,Alofi,NU,2021-09-17 00:04:58,-19.0595,-169.9187,77.99,79,5,19.15
240,Nizwa,OM,2021-09-17 00:04:58,22.9333,57.5333,83.14,28,70,0.63
241,Mumford,GH,2021-09-17 00:04:59,5.2618,-0.759,75.58,93,21,7.4
242,Kursumlija,RS,2021-09-17 00:04:59,43.1458,21.2686,72.07,56,88,3.22
243,Houma,US,2021-09-17 00:04:56,29.5958,-90.7195,84.0,87,75,8.05
244,Mwense,ZM,2021-09-17 00:05:00,-10.3845,28.698,72.28,37,18,2.82
245,Kununurra,AU,2021-09-17 00:05:00,-15.7667,128.7333,84.18,61,15,9.22
246,Sayyan,YE,2021-09-17 00:05:01,15.1718,44.3244,62.85,34,95,1.36
247,Sao Raimundo Nonato,BR,2021-09-17 00:05:02,-9.0153,-42.6994,81.03,31,3,2.93
248,Fortuna,US,2021-09-17 00:05:02,40.5982,-124.1573,83.19,65,1,1.99
249,Hammerfest,NO,2021-09-17 00:00:29,70.6634,23.6821,43.25,65,0,8.05
250,North Vanlaiphai,IN,2021-09-17 00:05:03,23.1333,93.0667,62.56,100,100,1.32
251,Lufilufi,WS,2021-09-17 00:05:04,-13.8745,-171.5986,81.36,75,15,18.84
252,Ambunti,PG,2021-09-17 00:05:04,-4.2365,142.8448,82.15,73,84,1.7
253,Bairiki,KI,2021-09-17 00:05:05,1.3292,172.9752,82.02,70,23,16.4
254,Abu Samrah,SY,2021-09-17 00:05:05,35.3029,37.1841,67.33,78,1,5.82
255,Ukiah,US,2021-09-17 00:05:02,39.1502,-123.2078,90.52,32,1,8.05
256,Tamano,JP,2021-09-17 00:05:06,34.4833,133.95,74.48,77,100,20.78
257,Port-Gentil,GA,2021-09-17 00:05:07,-0.7193,8.7815,78.06,80,100,8.66
258,Bathsheba,BB,2021-09-17 00:05:07,13.2167,-59.5167,84.81,74,75,17.27
259,Naze,JP,2021-09-17 00:05:07,28.3667,129.4833,80.1,78,84,14.23
260,Kawanoe,JP,2021-09-17 00:05:08,34.0167,133.5667,71.67,87,100,5.66
261,Hobyo,SO,2021-09-17 00:05:08,5.3505,48.5268,77.23,88,46,23.51
262,Carauari,BR,2021-09-17 00:05:09,-4.8828,-66.8958,77.74,68,48,0.4
263,Brigantine,US,2021-09-17 00:04:10,39.4101,-74.3646,73.99,97,90,8.05
264,Channel-Port Aux Basques,CA,2021-09-17 00:05:10,47.5702,-59.1367,55.8,84,77,12.91
265,Kamenka,RU,2021-09-17 00:05:10,51.3223,42.7678,42.08,81,20,2.91
266,Tazmalt,DZ,2021-09-17 00:05:11,36.3868,4.3989,78.69,49,65,2.04
267,Vila Velha,BR,2021-09-17 00:04:18,-20.3297,-40.2925,74.68,86,73,1.59
268,Lebu,CL,2021-09-17 00:01:23,-37.6167,-73.65,49.14,90,0,8.14
269,Salon-De-Provence,FR,2021-09-17 00:05:11,43.6407,5.0954,65.82,94,0,4.61
270,Talcahuano,CL,2021-09-17 00:05:12,-36.7167,-73.1167,51.48,82,0,8.05
271,Vardo,NO,2021-09-17 00:05:12,70.3705,31.1107,43.59,71,18,9.93
272,Taminango,CO,2021-09-17 00:05:13,1.5749,-77.2867,65.71,70,71,5.64
273,Washington,US,2021-09-17 00:03:05,47.5001,-120.5015,67.95,24,8,6.6
274,Riberalta,BO,2021-09-17 00:05:13,-10.9833,-66.1,77.68,74,42,2.91
275,Beipiao,CN,2021-09-17 00:05:14,41.7919,120.7792,63.7,64,27,6.24
276,Te Anau,NZ,2021-09-17 00:05:14,-45.4167,167.7167,39.7,86,74,1.45
277,Korla,CN,2021-09-17 00:05:15,41.7597,86.1469,68.31,35,83,5.7
278,Camacha,PT,2021-09-17 00:05:15,33.0833,-16.3333,71.02,73,20,13.8
279,Eha Amufu,NG,2021-09-17 00:05:16,6.6592,7.7596,73.13,96,96,4.47
280,Kahului,US,2021-09-17 00:05:16,20.8947,-156.47,91.42,52,40,27.63
281,Riyadh,SA,2021-09-17 00:02:13,24.6877,46.7219,80.37,15,21,9.46
282,Bethel,US,2021-09-17 00:05:17,41.3712,-73.414,71.91,86,90,1.01
283,Jiuquan,CN,2021-09-17 00:05:17,39.7432,98.5174,65.75,34,16,1.12
284,Tura,IN,2021-09-17 00:05:18,25.5198,90.2201,71.85,95,99,3.15
285,Sheopur,IN,2021-09-17 00:05:18,25.6667,76.7,74.97,88,100,9.84
286,Dire,ML,2021-09-17 00:05:19,12.2833,-10.9667,72.59,98,100,1.3
287,Lugovoy,KZ,2021-09-17 00:05:19,42.9472,72.7644,64.22,30,0,5.26
288,Dwarka,IN,2021-09-17 00:05:19,22.2394,68.9678,81.45,87,86,14.41
289,Pacific Grove,US,2021-09-17 00:03:22,36.6177,-121.9166,73.76,84,75,5.99
290,Bolobo,CD,2021-09-17 00:05:20,-2.1667,16.2333,70.77,92,100,2.53
291,Mitzic,GA,2021-09-17 00:05:20,0.7821,11.549,68.2,99,100,3.83
292,Bambous Virieux,MU,2021-09-17 00:05:21,-20.3428,57.7575,69.22,83,30,4.29
293,Beringovskiy,RU,2021-09-17 00:05:21,63.05,179.3167,40.86,62,91,20.24
