City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
450,Cabedelo,BR,75.87,clear sky,-6.9811,-34.8339,Hotel Pigalle
451,Laguna,US,75.7,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
454,Praia,CV,79.34,scattered clouds,14.9215,-23.5087,LT Aparthotel
455,Thinadhoo,MV,83.17,overcast clouds,0.5333,72.9333,
459,Mount Isa,AU,85.77,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
460,Neiafu,TO,83.08,light rain,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
461,Riyadh,SA,80.74,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
463,Koratla,IN,77.02,overcast clouds,18.8167,78.7167,Srinivasa Lodge
464,Martin,US,84.13,overcast clouds,27.0837,-80.4164,
465,Huilong,CN,79.99,clear sky,31.8111,121.655,Hilton Garden Inn Qidong
470,Hambantota,LK,77.34,few clouds,6.1241,81.1185,Bungalow 63
472,Mlonggo,ID,84.09,broken clouds,-6.5333,110.7,Asia Metal Art
491,Seoul,KR,78.37,clear sky,37.5683,126.9778,롯데호텔 서울
499,Carupano,VE,77.77,broken clouds,10.6678,-63.2585,Hotel La dorada
500,Lakatoro,VU,80.82,scattered clouds,-16.0999,167.4164,Lakatoro Palm Lodge
501,Celestun,MX,81.9,broken clouds,20.8667,-90.4,Posada Lilia
502,Tura,IN,76.53,scattered clouds,25.5198,90.2201,Hotel RIKMAN Continental
503,Kulhudhuffushi,MV,82.08,scattered clouds,6.6221,73.07,Hondaafushi Island Resort
507,Cartagena,CO,78.42,broken clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
508,Yingcheng,CN,89.65,broken clouds,30.95,113.55,Yingcheng Hotel
509,Glendive,US,81.95,overcast clouds,47.1053,-104.7125,Baymont by Wyndham Glendive
510,Palmeirais,BR,80.17,scattered clouds,-5.9778,-43.0633,Pousada LS
